Timestamp,Date,Gender,Age,Race,Which state are you from?,Which university are you from?,How many hours do you spend on social media in a day? (0.5 hour=30 minutes) ,Which social media site do you use the most?,What is the rating of your most used app?,How many friends did you add in your Facebook today?,How many followers did you gain in your Instagram today?
2022/05/28 8:44:20 pm GMT+8,5/28/2022,Female,21,Malay,Malacca,Universiti Malaysia Kelantan (UMK),1,WhatsApp,4.3,0,1
2022/05/28 9:02:34 pm GMT+8,5/28/2022,Male,21,Chinese,Penang,Universiti Utara Malaysia (UUM),5,YouTube,4.2,0,0
2022/05/29 10:24:57 pm GMT+8,5/29/2022,Male,21,Chinese,Johor,Universiti Malaysia Pahang (UMP),5,YouTube,4.2,0,0
2022/05/29 10:25:44 pm GMT+8,5/29/2022,Male,21,Chinese,Johor,Universiti Malaya (UM),4,Instagram,3.5,2,0
2022/05/29 10:26:15 pm GMT+8,5/29/2022,Female,21,Chinese,Perak,Universiti Utara Malaysia (UUM),4.5,WhatsApp,4.3,0,0
2022/05/29 10:31:16 pm GMT+8,5/29/2022,Female,21,Malay,Malacca,Universiti Teknologi MARA (UiTM),5,YouTube,4.2,5,80
2022/05/29 10:48:25 pm GMT+8,5/29/2022,Male,21,Chinese,Johor,Universiti Malaysia Pahang (UMP),1.5,TikTok,4.6,0,0
2022/05/29 10:49:21 pm GMT+8,5/29/2022,Female,20,Malay,Pahang,Universiti Malaya (UM),2,TikTok,4.6,0,0
2022/05/29 8:00:10 pm GMT+8,5/29/2022,Male,21,Chinese,Penang,Universiti Utara Malaysia (UUM),5,YouTube,4.2,0,0
2022/05/29 8:00:41 pm GMT+8,5/29/2022,Male,21,Chinese,Penang,Universiti Malaysia Pahang (UMP),12.5,YouTube,4.2,1,0
2022/05/29 8:00:53 pm GMT+8,5/29/2022,Male,23,Chinese,Penang,Universiti Malaysia Sarawak (UNIMAS),2.5,TikTok,4.6,0,0
2022/05/29 8:01:05 pm GMT+8,5/29/2022,Female,21,Indian,Perak,Universiti Malaysia Sarawak (UNIMAS),1,YouTube,4.2,0,0
2022/05/29 8:04:56 pm GMT+8,5/29/2022,Male,21,Chinese,Pahang,Universiti Malaysia Pahang (UMP),3,TikTok,4.6,2,1
2022/05/29 8:05:16 pm GMT+8,5/29/2022,Male,22,Chinese,Johor,Universiti Malaysia Pahang (UMP),2,Messenger,3.8,0,0
2022/05/29 8:20:26 pm GMT+8,5/29/2022,Female,21,Malay,Malacca,Universiti Malaysia Pahang (UMP),2.5,TikTok,4.6,0,1
2022/05/29 8:48:42 pm GMT+8,5/29/2022,Female,21,Chinese,Perak,Universiti Malaysia Pahang (UMP),7,WhatsApp,4.3,0,1
2022/05/29 8:51:06 pm GMT+8,5/29/2022,Male,21,Chinese,Sarawak,Universiti Malaysia Pahang (UMP),4,YouTube,4.2,0,1
2022/05/29 8:56:06 pm GMT+8,5/29/2022,Female,21,Chinese,Perak,Universiti Sains Malaysia (USM),6,YouTube,4.2,0,0
2022/05/29 9:24:01 pm GMT+8,5/29/2022,Male,21,Chinese,Johor,Universiti Tun Hussein Onn Malaysia (UTHM),2,Instagram,3.5,0,0
2022/05/29 9:56:18 pm GMT+8,5/29/2022,Female,21,Malay,Malacca,Universiti Malaysia Kelantan (UMK),2,TikTok,4.6,0,1
2022/05/30 10:15:50 pm GMT+8,5/30/2022,Female,21,Chinese,Perak,Universiti Malaysia Pahang (UMP),6,WhatsApp,4.3,0,1
2022/05/30 10:33:49 pm GMT+8,5/30/2022,Male,21,Chinese,Sarawak,Universiti Malaysia Pahang (UMP),3.5,WhatsApp,4.3,0,0
2022/05/30 10:38:42 pm GMT+8,5/30/2022,Male,22,Chinese,Johor,Universiti Malaysia Pahang (UMP),2.5,Messenger,3.8,0,0
2022/05/30 10:41:00 pm GMT+8,5/30/2022,Female,21,Malay,Malacca,Universiti Malaysia Kelantan (UMK),1.5,WhatsApp,4.3,0,1
2022/05/30 10:42:35 pm GMT+8,5/30/2022,Female,21,Indian,Perak,Universiti Malaysia Sarawak (UNIMAS),3,YouTube,4.2,0,0
2022/05/30 10:55:01 pm GMT+8,5/30/2022,Female,21,Chinese,Perak,Universiti Sains Malaysia (USM),4,WhatsApp ,4.3,0,0
2022/05/30 11:15:56 pm GMT+8,5/30/2022,Female,20,Malay,Pahang,Universiti Malaya (UM),2,TikTok,4.6,0,0
2022/05/30 11:25:29 pm GMT+8,5/30/2022,Male,21,Chinese,Johor,Universiti Tun Hussein Onn Malaysia (UTHM),2,Instagram,3.5,0,0
2022/05/30 8:15:16 pm GMT+8,5/30/2022,Male,23,Chinese,Penang,Universiti Malaysia Sarawak (UNIMAS),0.5,Facebook,3.2,0,0
2022/05/30 8:17:54 pm GMT+8,5/30/2022,Male,21,Chinese,Penang,Universiti Utara Malaysia (UUM),4,YouTube,4.2,0,0
2022/05/30 8:18:39 pm GMT+8,5/30/2022,Female,21,Malay,Malacca,Universiti Malaysia Pahang (UMP),4.5,TikTok,4.2,0,1
2022/05/30 8:20:45 pm GMT+8,5/30/2022,Female,21,Chinese,Perak,Universiti Utara Malaysia (UUM),5,Facebook,3.1,0,0
2022/05/30 8:47:27 pm GMT+8,5/30/2022,Male,21,Chinese,Johor,Universiti Malaysia Pahang (UMP),4,TikTok,4.6,0,1
2022/05/30 9:07:57 pm GMT+8,5/30/2022,Male,21,Chinese,Penang,Universiti Malaysia Pahang (UMP),12.2,YouTube,4.2,1,3
2022/05/30 9:08:35 pm GMT+8,5/30/2022,Male,21,Chinese,Pahang,Universiti Malaysia Pahang (UMP),4,TikTok,4.6,1,0
2022/05/30 9:34:42 pm GMT+8,5/30/2022,Male,21,Chinese,Johor,Universiti Malaysia Pahang (UMP),5,WhatsApp,4.3,0,0
2022/05/30 9:35:22 pm GMT+8,5/30/2022,Male,21,Chinese,Johor,Universiti Malaya (UM),3,Instagram,3.5,3,2
2022/05/31 11:24:28 pm GMT+8,5/30/2022,Female,21,Malay,Malacca,Universiti Teknologi MARA (UiTM),1.5,TikTok,4.5,0,0
2022/05/31 11:37:17 pm GMT+8,5/31/2022,Male,21,Chinese,Johor,Universiti Malaysia Pahang (UMP),5,YouTube ,4.2,0,0
2022/05/31 11:41:28 pm GMT+8,5/31/2022,Male,21,Chinese,Johor,Universiti Malaysia Pahang (UMP),1.5,TikTok,4.6,0,0
2022/05/31 11:42:24 pm GMT+8,5/31/2022,Male,21,Chinese,Penang,Universiti Malaysia Pahang (UMP),7.5,YouTube,4.2,0,2
2022/05/31 11:43:25 pm GMT+8,5/31/2022,Female,20,Malay,Pahang,Universiti Malaya (UM),1.5,TikTok,4.6,0,0
2022/05/31 11:44:21 pm GMT+8,5/31/2022,Female,21,Indian,Perak,Universiti Malaysia Sarawak (UNIMAS),3,YouTube,4.2,0,0
2022/05/31 11:46:24 pm GMT+8,5/31/2022,Female,21,Chinese,Perak,Universiti Sains Malaysia (USM),7,WhatsApp,4.3,0,2
2022/05/31 11:47:28 pm GMT+8,5/31/2022,Female,21,Malay,Malacca,Universiti Malaysia Pahang (UMP),5.5,WhatsApp,4.3,0,0
2022/05/31 11:48:36 pm GMT+8,5/31/2022,Female,21,Malay,Malacca,Universiti Teknologi MARA (UiTM),2.5,TikTok,4.6,0,0
2022/05/31 11:49:32 pm GMT+8,5/31/2022,Male,21,Chinese,Pahang,Universiti Malaysia Pahang (UMP),2,TikTok,4.6,0,2
2022/05/31 11:50:34 pm GMT+8,5/31/2022,Male,21,Chinese,Penang,Universiti Utara Malaysia (UUM),5,YouTube,4.2,0,0
2022/05/31 11:51:25 pm GMT+8,5/31/2022,Male,22,Chinese,Johor,Universiti Malaysia Pahang (UMP),1.5,Messenger,3.8,0,0
2022/05/31 11:52:27 pm GMT+8,5/31/2022,Female,21,Malay,Malacca,Universiti Malaysia Kelantan (UMK),2,TikTok,4.6,0,0
2022/05/31 11:53:16 pm GMT+8,5/31/2022,Female,21,Chinese,Perak,Universiti Malaysia Pahang (UMP),5,WhatsApp,4.3,0,0
2022/05/31 11:54:33 pm GMT+8,5/31/2022,Male,21,Chinese,Sarawak,Universiti Malaysia Pahang (UMP),2,Facebook,3.2,0,0
2022/05/31 11:55:35 pm GMT+8,5/31/2022,Male,23,Chinese,Penang,Universiti Malaysia Sarawak (UNIMAS),0.5,Facebook,3.2,0,0
2022/05/31 11:56:51 pm GMT+8,5/31/2022,Male,21,Chinese,Johor,Universiti Tun Hussein Onn Malaysia (UTHM),2,Instagram,3.5,0,0
2022/05/31 11:59:08 pm GMT+8,5/31/2022,Female,21,Chinese,Perak,Universiti Utara Malaysia (UUM),5.5,WhatsApp,4.3,0,0
2022/05/31 7:43:28 pm GMT+8,5/31/2022,Male,21,Chinese,Johor,Universiti Malaya (UM),4,Instagram,3.5,0,2
2022/06/01 10:02:02 pm GMT+8,6/1/2022,Female,21,Chinese,Perak,Universiti Utara Malaysia (UUM),6,WhatsApp,4.3,0,1
2022/06/01 10:02:19 pm GMT+8,6/1/2022,Male,21,Chinese,Sarawak,Universiti Malaysia Pahang (UMP),4,Facebook,3.2,0,0
2022/06/01 10:42:21 pm GMT+8,6/1/2022,Female,21,Indian,Perak,Universiti Malaysia Sarawak (UNIMAS),5,YouTube ,4.2,0,0
2022/06/01 8:12:27 pm GMT+8,6/1/2022,Male,21,Chinese,Penang,Universiti Malaysia Pahang (UMP),10.5,YouTube,4.2,0,0
2022/06/01 8:13:32 pm GMT+8,6/1/2022,Male,23,Chinese,Penang,Universiti Malaysia Sarawak (UNIMAS),0.5,Facebook,3.2,0,0
2022/06/01 8:13:53 pm GMT+8,6/1/2022,Female,21,Malay,Malacca,Universiti Malaysia Kelantan (UMK),1.5,TikTok,4.6,0,0
2022/06/01 8:14:00 pm GMT+8,6/1/2022,Female,20,Malay,Pahang,Universiti Malaya (UM),2.5,WhatsApp ,4.3,0,0
2022/06/01 8:14:37 pm GMT+8,6/1/2022,Female,21,Malay,Malacca,Universiti Malaysia Pahang (UMP),5.5,TikTok ,4.6,0,0
2022/06/01 8:17:28 pm GMT+8,6/1/2022,Male,21,Chinese,Penang,Universiti Utara Malaysia (UUM),6,YouTube,4.2,0,0
2022/06/01 8:19:39 pm GMT+8,6/1/2022,Female,21,Malay,Malacca,Universiti Teknologi MARA (UiTM),3,YouTube,4.2,9,90
